"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT11"
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-01",,,"0.27",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-02",,,"0.00","0.0",,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-03",,,"0.11",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-04",,,"0.43",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-05",,,"0.03",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-06",,,"0.39","0.0",,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-07",,,"0.02",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-08",,,"0.00","0.0",,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-09",,,"0.03",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-10",,,"0.00","0.0",,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-11",,,"0.00","0.0",,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-12",,,"0.09",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-13",,,"0.20",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-14",,,"0.02",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-15",,,"0.00","0.0",,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-16",,,"0.00","0.0",,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-17",,,"0.00","0.0",,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-18",,,"0.05",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-19",,,"0.02",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-20",,,"0.95",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-21",,,"0.00","0.0",,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-22",,,"0.00","0.0",,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-23",,,"0.79",,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","40.708904","-74.321518","37.5","2023-01-24",,,"0.19",,,,,,,,,,,,,,
